Model Details
Model: MooneyRivlin, Initial Guess: 1,1, Bounds: [u, n], RMSE: 0.082, BIC: -2011.927

Predictions
Note2: test

Note: link

x,y_original,MooneyRivlin_ypred
0.87925,1.13910129,0.9903386626259931
0.88864,1.171631636,1.0255990179613628
0.89794,1.204580096,1.0614198574811393
0.90716,1.238628692,1.0978331638350847
0.91629,1.273092193,1.134792485156484
0.92534,1.307873529,1.172330935157524
0.93431,1.343445145,1.2104422340554732
0.9432,1.37941386,1.2491197103825544
0.95201,1.415104035,1.288356298299652
0.96074,1.452755239,1.32814453521754
0.9694,1.490044735,1.3685237162110893
0.977983333,1.528623655,1.4094566272096483
0.986493333,1.567659742,1.4509521467293198
0.99493,1.606602302,1.493003419531341
1.0033,1.646023116,1.535637546198957
1.0116,1.68554936,1.578831625310611
1.01983,1.727144623,1.6225788385737778
1.027993333,1.768821346,1.666890297768839
1.03609,1.810991564,1.711759627849542
1.04412,1.852891619,1.7571801095176585
1.05209,1.896001812,1.803183564784554
1.06,1.939584698,1.8497649545920027
1.06784,1.983698144,1.8968582819531385
1.07562,2.028809757,1.9445161862840363
1.083343333,2.074009114,1.992753721569132
1.09101,2.120469556,2.0415658452350938
1.09861,2.166763613,2.0908817164834286
1.10616,2.214264538,2.140803248825213
1.11365,2.261333776,2.191259020066731
1.121086667,2.309770349,2.2422877468431994
1.128466667,2.358567915,2.2938606978567795
1.13579,2.408317231,2.345971105432071
1.14306,2.457806739,2.3986362805420245
1.15028,2.508657752,2.451874971458055
1.15745,2.558852911,2.5056821737939936
1.16457,2.610952664,2.5600526329246667
1.17164,2.663159862,2.614980842614674
1.178653333,2.715981538,2.6704079043296307
1.18562,2.769069548,2.7264061629110996
1.192543333,2.823285751,2.782998159213869
1.19942,2.876975767,2.8401521889947023
1.20624,2.933473248,2.8977776704968106
1.21302,2.988842086,2.9560091063661202
1.21976,3.044882612,3.0148434249257834
1.226446667,3.101642213,3.074158138772476
1.23309,3.159103561,3.134034900814754
1.23969,3.215719133,3.1944685739701066
1.24625,3.27557781,3.255485036077048
1.25276,3.334856355,3.3169849597844507
1.259236667,3.393493548,3.3791207307801994
1.26567,3.453871738,3.4417925893778305
1.27206,3.514651547,3.5049943114320925
1.278403333,3.576790376,3.5686857121103577
1.28471,3.637817089,3.6329612801428004
1.29098,3.699727361,3.697817139458585
1.297216667,3.764127686,3.7632844955162508
1.30341,3.827768692,3.829253361946707
1.30956,3.890662436,3.8957162219739176
1.31568,3.955908695,3.962812544689034
1.32176,4.019910231,4.030428666222312
1.3278,4.086858331,4.098558005227212
1.333803333,4.153374921,4.167232166376944
1.33977,4.220491924,4.236445773754339
1.34571,4.288642315,4.306311671714722
1.35161,4.355681577,4.376668911278685
1.35747,4.424298166,4.4475099216231175
1.363303333,4.493319769,4.518991408353004
1.3691,4.5636065,4.590987018589758
1.37487,4.634648988,4.663616965588495
1.3806,4.706184119,4.7367084307072975
1.38629,4.777888471,4.810252870824756
1.39196,4.84941046,4.884505153965297
1.39759,4.922818936,4.959199561852795
1.403196667,4.995622271,5.034552415046341
1.40877,5.070227135,5.110426059523398
1.41431,5.14627108,5.1868145062177655
1.41982,5.221069493,5.263758415801785
1.4253,5.296999379,5.341253210159058
1.43075,5.373803472,5.419294156508605
1.43617,5.45010392,5.497876366919052
1.44156,5.527422585,5.576994797866569
1.44692,5.605556266,5.656644249837131
1.45225,5.68527795,5.736819366973656
1.45756,5.764561956,5.817667814424197
1.462833333,5.843209952,5.898931086319041
1.46808,5.925413865,5.980756570324768
1.473306667,6.006305768,6.063245993280966
1.4785,6.088312753,6.1461846763569845
1.48367,6.171537428,6.2297270300621435
1.48881,6.253976904,6.313760808141445
1.493923333,6.337285913,6.398334899001309
1.49901,6.422220288,6.483444526017293
1.50408,6.506512999,6.569254961203316
1.509116667,6.591976484,6.655480038358158
1.51413,6.677533423,6.742284771886959
1.51912,6.762553336,6.82966580719461
1.52408,6.851679999,6.91750092836878
1.52902,6.938599112,7.005962612901289
1.53393,7.027267072,7.094867039942272
1.53882,7.114495651,7.184390406933556
1.54369,7.204491699,7.274530734437537
1.54853,7.295547403,7.365097803302108
1.55335,7.384969092,7.456273486452803
1.558146667,7.476598525,7.547991399788389
1.56292,7.566995365,7.640247047423436
