Model Details
Model: NeoHookean, Initial Guess: 1, Bounds: unbounded, RMSE: 1.114, BIC: 72.634

Predictions
Note2: test2note2

Note: tenq

x,y_original,NeoHookean_ypred
0.91629,1.723462199,2.8293211320033063
0.92534,1.769538615,2.8862744864035736
0.93431,1.815283098,2.9437039135744003
0.9432,1.863777849,3.001601149855679
0.95201,1.910796099,3.0599575194180684
0.96074,1.959282327,3.118763933313311
0.9694,2.008886699,3.1780799533095743
0.97798,2.057987175,3.2378288926141887
0.98649,2.108041276,3.2980718190401697
0.99493,2.159486962,3.3588015176722488
1.0033,2.210646374,3.4200104167973526
1.0116,2.262991536,3.4816905866957244
1.01983,2.316229663,3.543833738650005
1.02799,2.369651171,3.6064312241771517
1.03609,2.423605147,3.669552573273167
1.04412,2.478373654,3.7331123362164904
1.05209,2.533580007,3.797181820240444
1.06,2.589277514,3.8617547113761255
1.06784,2.646345741,3.9267408695695156
1.07562,2.703515166,3.9922143538043984
1.083343333,2.760692915,4.058196595925603
1.09101,2.819122138,4.1246813338827915
1.09861,2.878416243,4.191573333744196
1.10616,2.938173217,4.2590117859381245
1.11365,2.998416726,4.326900870477904
1.121083333,3.058362485,4.395262700247025
1.128466667,3.120104499,4.4641522096394075
1.13579,3.183364839,4.533468736537983
1.14306,3.245367985,4.603267103021362
1.150283333,3.309089456,4.673605461202009
1.15745,3.371701321,4.7443796497650865
1.16457,3.437185343,4.815681365318074
1.17164,3.502818586,4.88747131193348
1.17865,3.568947826,4.9596389669655085
1.18562,3.634485181,5.032383104507397
1.19254,3.702135623,5.105594107351618
1.19942,3.769795937,5.179372306626366
1.20624,3.838216609,5.253495353723612
1.21302,3.907700412,5.328172501565721
1.219756667,3.977696647,5.403362328871326
1.226446667,4.04762266,5.4790212274266885
1.23309,4.119294025,5.5551418294118555
1.23969,4.190235714,5.631755481724965
1.24625,4.262891596,5.708895300545467
1.25276,4.335426143,5.786436386525214
1.25923,4.409687504,5.86449032098258
1.26567,4.484261787,5.9431746040543265
1.272056667,4.559413267,6.022197727498581
1.278406667,4.635590059,6.101757722434642
1.284713333,4.711755284,6.1817649918316855
1.290983333,4.788049936,6.262297865522224
1.297213333,4.86738994,6.343307848454499
1.30341,4.945779773,6.424876572346108
1.30956,5.026440637,6.506821654191862
1.31568,5.10533995,6.589358927639841
1.32176,5.185250427,6.672348709469689
1.3278,5.267041438,6.755783549364019
1.333803333,5.348367039,6.839702660329575
1.33977,5.4319697,6.9240998621909995
1.34571,5.516051011,7.009112719595378
1.35161,5.597620629,7.09454553633163
1.35747,5.683159636,7.180389893508705
1.363306667,5.768148263,7.266885584449439
1.3691,5.855732168,7.353730813588554
1.37487,5.942258875,7.441219862791915
1.3806,6.029584603,7.529095153325449
1.386296667,6.11795274,7.617451307455309
1.39196,6.206621864,7.706282247621309
1.39759,6.296973746,7.795581758756546
1.403196667,6.386782899,7.885504716523605
1.40877,6.477186651,7.975886833536749
1.41431,6.5688509,8.066721415935982
1.41982,6.661893409,8.158057134761854
1.4253,6.754670358,8.249888756961385
1.43075,6.848199517,8.342210898711327
1.43617,6.943148038,8.435018025100945
1.44156,7.0389442,8.528304449856174
1.44692,7.134978078,8.622064335105744
1.45225,7.232851211,8.716291691189726
